"","kb","mb","fileType","gitUrl","tweetID","fileCode","tweetURL"
"3081",62.381,0.062,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1361721002435223554-EuXOBzMXAAEvPFO.mp4","1361721002435223554","-EuXOBzMXAAEvPFO.mp4","https://twitter.com/jmhenner/status/1361721002435223554"
"3082",76.929,0.077,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1361726372884922378-EuXS6qtXEAc4d8-.mp4","1361726372884922378","-EuXS6qtXEAc4d8-.mp4","https://twitter.com/jmhenner/status/1361726372884922378"
"3083",41.432,0.041,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1361728708839669765-EuXVCoEWgAMkgB_.mp4","1361728708839669765","-EuXVCoEWgAMkgB_.mp4","https://twitter.com/jmhenner/status/1361728708839669765"
"3084",15.494,0.015,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1361767630005293056-EuX4cI-WQAEFawG.mp4","1361767630005293056","-EuX4cI-WQAEFawG.mp4","https://twitter.com/jmhenner/status/1361767630005293056"
"3085",50.25,0.05,".jpg","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1361768326326874112-EuX5DtoXUAIytVq.jpg","1361768326326874112","-EuX5DtoXUAIytVq.jpg","https://twitter.com/jmhenner/status/1361768326326874112"
"3086",70.96,0.071,".jpg","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1361772613253611521-EuX881sWQAQqxSe.jpg","1361772613253611521","-EuX881sWQAQqxSe.jpg","https://twitter.com/jmhenner/status/1361772613253611521"
"3087",48.044,0.048,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1361773509643542530-EuX9yYMXcAcFYp6.mp4","1361773509643542530","-EuX9yYMXcAcFYp6.mp4","https://twitter.com/jmhenner/status/1361773509643542530"
"3088",64.346,0.064,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1361775703713325060-EuX_yFsXcAYcq8E.mp4","1361775703713325060","-EuX_yFsXcAYcq8E.mp4","https://twitter.com/jmhenner/status/1361775703713325060"
"3089",15.05,0.015,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1361778886091169799-EuYCrVXWgAEO_IG.mp4","1361778886091169799","-EuYCrVXWgAEO_IG.mp4","https://twitter.com/jmhenner/status/1361778886091169799"
"3090",33.382,0.033,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1361781427189276675-EuYE_PsXEAYH-G7.mp4","1361781427189276675","-EuYE_PsXEAYH-G7.mp4","https://twitter.com/jmhenner/status/1361781427189276675"
"3091",58.113,0.058,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1361781592511963138-EuYFI31XEAAYYTN.mp4","1361781592511963138","-EuYFI31XEAAYYTN.mp4","https://twitter.com/jmhenner/status/1361781592511963138"
"3092",16.036,0.016,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1361792681505132545-EuYPOU5WgAg2GmI.mp4","1361792681505132545","-EuYPOU5WgAg2GmI.mp4","https://twitter.com/jmhenner/status/1361792681505132545"
"3093",36.082,0.036,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1361814330715611138-EuYi6eeWgAQp3y7.mp4","1361814330715611138","-EuYi6eeWgAQp3y7.mp4","https://twitter.com/jmhenner/status/1361814330715611138"
"3094",81.239,0.081,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1361816037939937294-EuYkd0yWQAIPeKQ.mp4","1361816037939937294","-EuYkd0yWQAIPeKQ.mp4","https://twitter.com/jmhenner/status/1361816037939937294"
"3095",177.254,0.177,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1361818139168813056-EuYmYIuXUAQrg8P.mp4","1361818139168813056","-EuYmYIuXUAQrg8P.mp4","https://twitter.com/jmhenner/status/1361818139168813056"
"3096",153.233,0.153,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1361819227242561539-EuYnXPcXIAIGe5P.mp4","1361819227242561539","-EuYnXPcXIAIGe5P.mp4","https://twitter.com/jmhenner/status/1361819227242561539"
"3097",85.703,0.086,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1361825225994813440-EuYs0rTWQAYhB1i.mp4","1361825225994813440","-EuYs0rTWQAYhB1i.mp4","https://twitter.com/jmhenner/status/1361825225994813440"
"3098",49.33,0.049,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1361842060920320000-EuY8ImEXIAAmYYK.mp4","1361842060920320000","-EuY8ImEXIAAmYYK.mp4","https://twitter.com/jmhenner/status/1361842060920320000"
"3099",1413.672,1.414,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362078955449245702-myIpInWRCAPzrhJW.mp4","1362078955449245702","-myIpInWRCAPzrhJW.mp4","https://twitter.com/jmhenner/status/1362078955449245702"
"3100",71.176,0.071,".jpg","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362085124993675276-EtOebEzXIAA65cp.jpg","1362085124993675276","-EtOebEzXIAA65cp.jpg","https://twitter.com/jmhenner/status/1362085124993675276"
"3101",40.966,0.041,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362087411551977477-EucbR4ZXUAEGKqZ.mp4","1362087411551977477","-EucbR4ZXUAEGKqZ.mp4","https://twitter.com/jmhenner/status/1362087411551977477"
"3102",29.684,0.03,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362096633291366401-EucjqphWYAEqsT4.mp4","1362096633291366401","-EucjqphWYAEqsT4.mp4","https://twitter.com/jmhenner/status/1362096633291366401"
"3103",34.166,0.034,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362099378513711106-EucmKb3XEAExABa.mp4","1362099378513711106","-EucmKb3XEAExABa.mp4","https://twitter.com/jmhenner/status/1362099378513711106"
"3104",21.308,0.021,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362101199001055232-Eucn0amWYAQErl_.mp4","1362101199001055232","-Eucn0amWYAQErl_.mp4","https://twitter.com/jmhenner/status/1362101199001055232"
"3105",26.23,0.026,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362112180976508929-EucxzoTXMAQ1ufK.mp4","1362112180976508929","-EucxzoTXMAQ1ufK.mp4","https://twitter.com/jmhenner/status/1362112180976508929"
"3106",64.561,0.065,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362119966133215240-Euc44irXYAc1rct.mp4","1362119966133215240","-Euc44irXYAc1rct.mp4","https://twitter.com/jmhenner/status/1362119966133215240"
"3107",80.144,0.08,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362155490000699399-EudZMh8XcAgeHzj.mp4","1362155490000699399","-EudZMh8XcAgeHzj.mp4","https://twitter.com/jmhenner/status/1362155490000699399"
"3108",32.604,0.033,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362165500730613765-EudiTRUWQAEv29_.mp4","1362165500730613765","-EudiTRUWQAEv29_.mp4","https://twitter.com/jmhenner/status/1362165500730613765"
"3109",23.733,0.024,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362476213596479489-Euh85JDXcAwdWQ3.mp4","1362476213596479489","-Euh85JDXcAwdWQ3.mp4","https://twitter.com/jmhenner/status/1362476213596479489"
